"Site","Acorn_Barnacle_Abundance","Mussel_Abundance","Date"
"Point Pinos",4.17,10.61,2011-04-24
"Point Pinos",10.6,18.5,2011-05-10
"Point Pinos",5,14.7,2011-05-11
"Point Pinos",16,18,2012-01-21
"Point Pinos",7.75,16.5,2012-03-07
"Point Pinos",12.92,12,2012-03-09
"Point Pinos",7.91,9.91,2012-04-11
"Point Pinos",2.83,11.25,2012-05-10
"Point Pinos",10.54,11.77,2012-06-06
"Point Pinos",10.67,16.17,2012-12-11
"Point Pinos",9.38,11.85,2013-02-09
"Point Pinos",4.18,12.82,2013-03-07
"Point Pinos",1.33,6.17,2013-11-19
"Point Pinos",15.67,18.67,2014-01-11
"Point Pinos",8.5,17.25,2014-01-28
"Point Pinos",9.71,12.71,2014-02-25
"Point Pinos",2.6,12.7,2014-04-22
"Point Pinos",5.5,12.17,2014-04-24
"Point Pinos",7,12.73,2014-05-19
"Point Pinos",10,11.7,2014-07-16
"Point Pinos",13.27,12.91,2015-02-16
"Point Pinos",9.8,13.8,2015-03-29
"Point Pinos",NA,14.14,2015-07-20
"Point Pinos",NA,16.91,2015-10-25
"Point Pinos",NA,21.8,2016-02-06
"Point Pinos",NA,10.83,2016-03-19
"Point Pinos",NA,12.09,2016-07-04
"Point Pinos",NA,16.46,2017-06-26
"Point Pinos",NA,18.25,2018-01-30
"Point Pinos",NA,12.25,2018-01-31
"Point Pinos",NA,17.08,2018-03-25
"Point Pinos",NA,13.08,2018-07-04
"Point Pinos",NA,18.14,2018-11-06
"Point Pinos",NA,14.29,2019-01-31
"Point Pinos",NA,17.38,2019-03-29
"Point Pinos",NA,16.64,2019-04-02
"Point Pinos",NA,15,2020-03-10
