"Year","Site","Purple_Count","Purple_per_10m","Purple_relative_population","Orange_Count","Orange_per_10m","Orange_relative_population","Mussel_Abundance","Acorn_Barnacle_Abundance","Period"
2008,"Almar Avenue",45.5,1.82,1.04,22.5,0.9,1.42,19.3,18.2,"Pre-SSWD"
2009,"Almar Avenue",65.2,2.61,1.49,22.4,0.9,1.42,16.67,18.39,"Pre-SSWD"
2010,"Almar Avenue",NA,NA,NA,NA,NA,NA,17.4,15,"Pre-SSWD"
2011,"Almar Avenue",29,1.16,0.66,7.25,0.29,0.46,18.24,13.8,"Pre-SSWD"
2012,"Almar Avenue",32.4,1.3,0.74,10.8,0.43,0.68,13.03,12.44,"Pre-SSWD"
2013,"Almar Avenue",5.4,0.22,0.12,0.2,0.01,0.01,13.11,17.24,"Post-SSWD"
2014,"Almar Avenue",4.33,0.17,0.1,0.33,0.01,0.02,17.73,17.44,"Post-SSWD"
2015,"Almar Avenue",13,0.52,0.3,3,0.12,0.19,20.88,16.7,"Post-SSWD"
2016,"Almar Avenue",NA,NA,NA,NA,NA,NA,17.3,18.15,"Post-SSWD"
2017,"Almar Avenue",4,0.16,0.09,1.5,0.06,0.1,16.8,13.96,"Post-SSWD"
2018,"Almar Avenue",8,0.32,0.18,2,0.08,0.13,NA,NA,"Post-SSWD"
2019,"Almar Avenue",12.67,0.51,0.29,3.67,0.15,0.23,NA,NA,"Post-SSWD"
2020,"Almar Avenue",7,0.28,0.16,1,0.04,0.06,NA,NA,"Post-SSWD"
2021,"Almar Avenue",6,0.24,0.14,1,0.04,0.06,NA,NA,"Post-SSWD"
