Date,EventID,Site,School,Zone,Organism,Unit,"0 Meters","4 Meters","8 Meters","9 Meters","11 Meters","18 Meters","24 Meters","29 Meters","33.5 Meters","35.5 Meters","39 Meters","41 Meters","Checked By"
05-19-2011,05-19-2011,"Carmel Point","Carmel High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,23,5,,1,6,5,3,,4,,,None
01-18-2012,01-18-2012,"Carmel Point","North Salinas High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,,,,,0,,,,,,,None
05-10-2012,05-10-2012,"Carmel Point","Santa Catalina School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,6,,3,0,0,7,0,15,0,,,None
05-11-2012,05-11-2012,"Carmel Point","Santa Catalina School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,22,0,6,0,0,5,10,0,,,,None
06-07-2012,06-07-2012,"Carmel Point",CSUMB," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",3,21,1,7,1,3,8,16,20,7,,0,None
12-02-2013,12-02-2013,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",2,3,8,11,0,0,17,20,6,14,0,0,None
02-11-2014,02-11-2014,"Carmel Point","Big Sur Charter School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",,14,,0,0,0,,0,14,,,0,None
02-12-2014,02-12-2014,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,,,,8,3,13,14,17,21,0,0,None
02-13-2014,02-13-2014,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,22,,2,,,15,,,,,,None
03-08-2014,03-08-2014,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",5,9,4,9,9,,,,,,,,None
03-23-2014,03-23-2014,"Carmel Point","CSU Stanislaus"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,21,4,5,1,,,,,,,,None
04-04-2014,04-04-2014,"Carmel Point","North Monterey County High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,7,0,0,0,0,3,14,7,1,,,None
05-03-2014,05-03-2014,"Carmel Point","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",,23,0,0,0,2,23,22,0,20,,,None
07-14-2014,07-14-2014,"Carmel Point","Camp SEA Lab"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,18,4,2,1,16,17,25,,,,,None
10-08-2014,10-08-2014,"Carmel Point","California State University Monterey Bay"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",2,12,0,0,1,,18,25,24,5,,,None
02-18-2015,02-18-2015,"Carmel Point",CSUMB," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",6,23,2,0,0,21,18,18,0,4,,,None
