Date,EventID,Site,School,Zone,Organism,Unit,"0 Meters","1 Meters","2 Meters","3 Meters","4 Meters","5 Meters","6 Meters","7 Meters","8 Meters","9 Meters","10 Meters","11 Meters","12 Meters","Checked By"
04-24-2011,04-24-2011,"Point Pinos","California State University, Stanislaus"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,,0,12.5,17,8.33,7,0,0,0,1,,0,None
05-10-2011,05-10-2011,"Point Pinos","Pacific Grove High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",7,,,,15,23,,1,7,,,,,None
05-11-2011,05-11-2011,"Point Pinos","Pacific Grove High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",,,,10,,,,,,1,4,,,None
01-21-2012,01-21-2012,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",7,17,0,13,16,23,25,25,18,,,,,None
03-07-2012,03-07-2012,"Point Pinos","Monterey Peninsula College"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,,,0,24,25,13,0,0,,0,,,None
03-09-2012,03-09-2012,"Point Pinos","Monterey Peninsula College"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",23,2,0,17,23,3,15,24,18,25,4,1,,None
04-11-2012,04-11-2012,"Point Pinos","Marina High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,0,0,8,8,,19,,17,16,19,0,0,None
05-10-2012,05-10-2012,"Point Pinos","St. Mary's Gilroy"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",,0,0,0,12,0,8,2,11,0,1,0,0,None
06-06-2012,06-06-2012,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",3,19,2,18,21,12,20,10,17,6,9,0,0,None
12-11-2012,12-11-2012,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",1,,,8,10,13,22,,,10,,,,None
02-09-2013,02-09-2013,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,10,7,12,12,20,17,23,21,0,0,0,0,None
03-07-2013,03-07-2013,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",3,3,0,0,7,22,6,0,5,0,,0,,None
11-19-2013,11-19-2013,"Point Pinos","Santa Catalina School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,,5,,,3,,0,0,,0,,,None
01-11-2014,01-11-2014,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",3,13,4,17,14,23,23,22,22,,,,,None
01-28-2014,01-28-2014,"Point Pinos","Big Sur Charter School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",3,12,,14,0,,0,21,,0,,,18,None
02-25-2014,02-25-2014,"Point Pinos","Big Sur Charter School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",2,,,21,8,,20,17,,0,,,0,None
04-22-2014,04-22-2014,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,0,1,2,0,3,13,3,2,2,,,,None
04-24-2014,04-24-2014,"Point Pinos","Monterey County Home Charter School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",,,2,,0,0,24,,0,,7,,,None
05-19-2014,05-19-2014,"Point Pinos","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,6,0,,0,17,6,25,14,0,9,,0,None
07-16-2014,07-16-2014,"Point Pinos","Camp SEA Lab"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",1,8,1,19,5,24,25,,,6,6,5,,None
02-16-2015,02-16-2015,"Point Pinos","Glacier High School"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",,18,2,23,21,,25,2,24,9,17,5,0,None
03-29-2015,03-29-2015,"Point Pinos","CSU Stanislaus"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,,7,,11,,25,,6,,,,,None
