Date,EventID,Site,School,Zone,Organism,Unit,"0 Meters","4 Meters","8 Meters","12 Meters","16.1 Meters","20 Meters","24 Meters","28 Meters","31.5 Meters","36.35 Meters","42 Meters","46 Meters","Checked By"
03-17-2012,03-17-2012,"San Simeon","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",25,22,0,21,0,,,,,,,,None
02-25-2013,02-25-2013,"San Simeon","Coastal Discovery Center"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",25,18,,,,,,,,24,24,,None
12-02-2013,12-02-2013,"San Simeon","Coastal Discovery Center"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",25,11,0,0,0,0,0,0,5,7,16,0,None
12-14-2013,12-14-2013,"San Simeon","Pacific Grove Museum of Natural History"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",25,18,0,0,0,0,0,0,14,,13,0,None
03-24-2014,03-24-2014,"San Simeon","Coastal Discovery Center"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,21,0,0,2,1,0,0,2,13,21,0,None
07-15-2014,07-15-2014,"San Simeon","Coastal Discovery Center"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",25,23,0,0,0,0,,0,2,13,12,0,None
11-22-2014,11-22-2014,"San Simeon","Coastal Discovery Center"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",25,25,12,0,0,0,0,0,2,11,2,0,None
12-04-2014,12-04-2014,"San Simeon","Coastal Discovery Center"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",0,15,0,12,3,0,0,0,0,5,13,0,None
02-18-2015,02-18-2015,"San Simeon","Coastal Discovery Center"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",25,15,0,0,0,3,0,0,4,20,16,0,None
08-04-2015,08-04-2015,"San Simeon","Coastal Discovery Center"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",25,8,0,0,0,0,0,0,0,5,9,0,None
10-26-2015,10-26-2015,"San Simeon","Coastal Discovery Center"," --- ","Common acorn barnacle - Balanus/Chthamalus","Squares per ¼ m² (max 25)",25,5,3,6,0,0,,0,0,14,5,0,None
